,Codi_Barri,Any,Mes,Codi_Districte,Població_16_64_anys,Pes_atur
346,55,2019.0,6.5,8.0,7070.0,12.549999999999999
347,56,2019.0,6.5,8.0,893.0,11.558333333333332
348,57,2019.0,6.5,9.0,6917.0,11.908333333333333
349,58,2019.0,6.5,9.0,1732.0,6.666666666666667
350,59,2019.0,6.5,9.0,8481.0,7.733333333333333
351,60,2019.0,6.5,9.0,36844.0,7.216666666666666
352,61,2019.0,6.5,9.0,18519.0,6.4750000000000005
353,62,2019.0,6.5,9.0,9449.0,6.166666666666667
354,63,2019.0,6.5,9.0,14220.0,6.291666666666667
355,64,2019.0,6.5,10.0,25518.0,6.75
356,65,2019.0,6.5,10.0,18066.0,6.55
357,66,2019.0,6.5,10.0,10558.0,5.425
358,67,2019.0,6.5,10.0,6474.0,5.908333333333334
359,68,2019.0,6.5,10.0,22944.0,5.741666666666667
360,69,2019.0,6.5,10.0,8858.0,6.8500000000000005
361,70,2019.0,6.5,10.0,16577.0,8.35
362,71,2019.0,6.5,10.0,14217.0,6.5249999999999995
363,72,2019.0,6.5,10.0,16219.0,7.933333333333334
364,73,2019.0,6.5,10.0,17577.0,8.258333333333335
